PraiseLevel	NpcTemplateID	Remark1	Remark2	Remark3	Count	NeedGoods	NeedGoodsCount1	NeedGoodsCount2	NeedGoodsCount3	NeedGoodsCount4	NeedGoodsCount5	NeedGoodsCount6	NeedGoodsCount7	NeedGoodsCount8	NeedGoodsCount9
Remark					顾客数量	填空表示使用NPC模板表里的数据	水果	饮料	蔬菜	日用	体育	电子	奢侈	服装	电器
1	1001	晴儿	水果		8		80								
2	1000	樱石	饮料		4		240	120							
3	1016	琳达陈	"水果,饮料"		4		720	480							
4	1007	文婆娘	蔬菜		4		1200	800	400						
5	1008	小欣	"水果,蔬菜"		4		2400	1200	1200						
6	1018	王麦克	"饮料,蔬菜"		4		3200	2400	2400						
7	1003	高泉	日用家居		4		4000	3000	3000	1000					
8	1009	小龙	"饮料,日用"		4		4800	4800	3600	2400					
9	1039	胜男王	电器		4		7200	8000	5400	3600					1800
10	1002	阿碎	体育		4		9600	12000	7200	4800	3000				2400
11	1006	翟南	电子		4		14400	16000	10800	7200	4000	4400			3600
12	1012	老田	"体育,电子"		4		20000	22400	15000	10000	11200	12800			5000
13	1010	大舅哥	"日用,电子"		4		20000	22400	15000	15000	11200	19200			5000
