nSpecialGuestID	Remark	nLevel	nUnlockLevel	nMonsterCount	nBossCount	nGold	nExp	nPraise	NeedGoods_Type	NeedGoods_Count	NeedGoods_Coefficient	RewardItem1	RewardItem2	RewardItem3
NPC模板ID	备注	星级	解锁等级	小怪数量	BOSS数量	奖励金币	奖励经验	奖励口碑	需求类型	需求数量	需求系数	可能获得道具(ID、数量、随机权重)	可能获得道具2	可能获得道具3
1013	大腕儿	1	8	7	1	5000	0	0	"水果,饮料"	600	0.10	"9102,1,20"	"6202,1,20"	"6203,1,10"
1013	大腕儿	2	8	9	1	10000	0	0	"水果,饮料"	600	0.30	"9102,1,20"	"6202,1,20"	"6203,1,10"
1013	大腕儿	3	8	11	1	20000	0	0	"水果,饮料"	600	0.50	"9102,1,20"	"6202,1,20"	"6203,1,10"
1013	大腕儿	4	8	13	1	40000	0	0	"水果,饮料"	600	0.70	"9102,1,20"	"6202,1,20"	"6203,1,10"
1013	大腕儿	5	8	15	1	60000	0	0	"水果,饮料"	600	0.90	"9102,1,20"	"6202,1,20"	"6203,1,10"
1022	米高积逊	1	9	7	1	0	0	50	"水果,饮料"	600	0.18	"9102,1,20"	"6202,1,20"	"6203,1,10"
1022	米高积逊	2	9	9	1	0	0	100	"水果,饮料"	600	0.38	"9102,1,20"	"6202,1,20"	"6203,1,10"
1022	米高积逊	3	9	11	1	0	0	150	"水果,饮料"	600	0.58	"9102,1,20"	"6202,1,20"	"6203,1,10"
1022	米高积逊	4	9	13	1	0	0	200	"水果,饮料"	600	0.78	"9102,1,20"	"6202,1,20"	"6203,1,10"
1022	米高积逊	5	9	15	1	0	0	250	"水果,蔬菜"	600	0.98	"9102,1,20"	"6202,1,20"	"6203,1,10"
1024	哈利波波	1	10	7	1	10000	0	0	"水果,饮料"	600	0.30	"9303,1,20"	"9203,1,20"	"7960,200,2"
1024	哈利波波	2	10	9	1	20000	0	0	"水果,饮料"	600	0.50	"9303,1,20"	"9203,1,20"	"7960,300,2"
1024	哈利波波	3	10	11	1	40000	0	0	"水果,饮料"	600	0.70	"9303,1,20"	"9203,1,20"	"7960,400,2"
1024	哈利波波	4	10	13	1	60000	0	0	"水果,蔬菜"	600	0.90	"9303,1,20"	"9203,1,20"	"7960,500,2"
1024	哈利波波	5	10	15	1	100000	0	0	"水果,蔬菜"	600	1.10	"9303,1,20"	"9203,1,20"	"7960,600,2"
1021	GAGA	1	15	7	1	0	100	0	"水果,饮料"	600	0.46	"9303,1,20"	"9203,1,20"	"7960,250,2"
1021	GAGA	2	15	9	1	0	200	0	"水果,饮料"	600	0.66	"9303,1,20"	"9203,1,20"	"7960,350,2"
1021	GAGA	3	15	11	1	0	300	0	"水果,蔬菜"	600	0.86	"9303,1,20"	"9203,1,20"	"7960,450,2"
1021	GAGA	4	15	13	1	0	400	0	"水果,蔬菜"	600	1.06	"9303,1,20"	"9203,1,20"	"7960,550,2"
1021	GAGA	5	15	15	1	0	500	0	"水果,蔬菜"	600	1.26	"9303,1,20"	"9203,1,20"	"7960,650,2"
