PraiseLevel	NpcTemplateID	Remark1	Remark2	Remark3	Count	NeedGoods	NeedGoodsCount1	NeedGoodsCount2	NeedGoodsCount3	NeedGoodsCount4	NeedGoodsCount5	NeedGoodsCount6	NeedGoodsCount7	NeedGoodsCount8	NeedGoodsCount9
Remark					顾客数量	填空表示使用NPC模板表里的数据	水果	饮料	蔬菜	日用	体育	电子	奢侈	服装	电器
1	1000	樱石	饮料		8			400							
2	1007	文婆娘	蔬菜		4			1200	480						
3	1003	高泉	日用		4			2400	1000	600					
4	1002	阿碎	体育		4			3600	1600	1200	1000				
5	1018	王麦克	"饮料,蔬菜"		4			9000	4000	2000	1800				
6	1009	小龙	"饮料,日用"		4			14400	4800	4800	2000				
7	1015	郑杰伦	"体育,日用"		4			17600	5600	10800	6000				
8	1006	翟南	电子		4			20800	6400	12000	7200	4000			
9	1012	老田	"体育,电子"		4			24000	7600	14400	13200	9600			
10	1010	大舅哥	"日用,电子"		4			28800	8800	22400	15000	16800			
11	1005	陈二蛋	服装		4			32000	10400	27200	18000	20400		9600	
12	1038	大管家	"电子,服装"		4			36800	12000	29600	19800	29600		21600	
13	1039	胜男王	电器		4			36800	12000	29600	19800	29600		21600	40
