nSpecialGuestID	Remark	nLevel	nUnlockLevel	nMonsterCount	nBossCount	nGold	nExp	nPraise	NeedGoods_Type	NeedGoods_Count	NeedGoods_Coefficient	RewardItem1	RewardItem2	RewardItem3
NPC模板ID	备注	星级	解锁等级	小怪数量	BOSS数量	奖励金币	奖励经验	奖励口碑	需求类型	需求数量	需求系数	可能获得道具(ID、数量、随机权重)	可能获得道具2	可能获得道具3
1017	大酋长	1	8	7	1	0	100	0	"饮料,蔬菜"	900	0.1	"9102,1,20"	"6202,1,20"	"6203,1,10"
1017	大酋长	2	8	9	1	0	200	0	"饮料,蔬菜"	900	0.3	"9102,1,20"	"6202,1,20"	"6203,1,10"
1017	大酋长	3	8	11	1	0	300	0	"饮料,蔬菜"	900	0.5	"9102,1,20"	"6202,1,20"	"6203,1,10"
1017	大酋长	4	8	13	1	0	400	0	"日用,蔬菜"	900	0.7	"9102,1,20"	"6202,1,20"	"6203,1,10"
1017	大酋长	5	8	15	1	0	500	0	"日用,蔬菜"	900	0.9	"9102,1,20"	"6202,1,20"	"6203,1,10"
1023	阿拉丁	1	12	7	1	0	150	0	"饮料,蔬菜"	900	0.18	"9102,1,20"	"6202,1,20"	"6203,1,10"
1023	阿拉丁	2	12	9	1	0	250	0	"饮料,蔬菜"	900	0.38	"9102,1,20"	"6202,1,20"	"6203,1,10"
1023	阿拉丁	3	12	11	1	0	350	0	"饮料,蔬菜"	900	0.58	"9102,1,20"	"6202,1,20"	"6203,1,10"
1023	阿拉丁	4	12	13	1	0	450	0	"日用,蔬菜"	900	0.78	"9102,1,20"	"6202,1,20"	"6203,1,10"
1023	阿拉丁	5	12	15	1	0	550	0	"日用,蔬菜"	900	0.98	"9102,1,20"	"6202,1,20"	"6203,1,10"
1024	哈利波波	1	18	7	1	0	0	40	"饮料,蔬菜"	900	0.3	"9303,1,20"	"9203,1,20"	"7960,200,4"
1024	哈利波波	2	18	9	1	0	0	80	"日用,蔬菜"	900	0.5	"9303,1,20"	"9203,1,20"	"7960,300,4"
1024	哈利波波	3	18	11	1	0	0	120	"日用,蔬菜"	900	0.7	"9303,1,20"	"9203,1,20"	"7960,400,4"
1024	哈利波波	4	18	13	1	0	0	160	"日用,蔬菜"	900	0.9	"9303,1,20"	"9203,1,20"	"7960,500,4"
1024	哈利波波	5	18	15	1	0	0	200	"体育,蔬菜"	900	1.1	"9303,1,20"	"9203,1,20"	"7960,600,4"
1021	GAGA	1	24	7	1	20000	0	0	"日用,蔬菜"	900	0.46	"9303,1,20"	"9203,1,20"	"7960,250,4"
1021	GAGA	2	24	9	1	40000	0	0	"日用,蔬菜"	900	0.66	"9303,1,20"	"9203,1,20"	"7960,350,4"
1021	GAGA	3	24	11	1	60000	0	0	"日用,蔬菜"	900	0.86	"9303,1,20"	"9203,1,20"	"7960,450,4"
1021	GAGA	4	24	13	1	100000	0	0	"体育,蔬菜"	900	1.06	"9303,1,20"	"9203,1,20"	"7960,550,4"
1021	GAGA	5	24	15	1	150000	0	0	"体育,蔬菜"	900	1.26	"9303,1,20"	"9203,1,20"	"7960,650,4"
1022	米高积逊	1	30	7	1	0	200	0	"日用,蔬菜"	900	0.66	"9304,1,20"	"9204,1,20"	"7960,300,4"
1022	米高积逊	2	30	9	1	0	300	0	"日用,蔬菜"	900	0.86	"9304,1,20"	"9204,1,20"	"7960,400,4"
1022	米高积逊	3	30	11	1	0	400	0	"体育,蔬菜"	900	1.06	"9304,1,20"	"9204,1,20"	"7960,500,4"
1022	米高积逊	4	30	13	1	0	500	0	"体育,蔬菜"	900	1.26	"9304,1,20"	"9204,1,20"	"7960,600,4"
1022	米高积逊	5	30	15	1	0	600	0	"体育,蔬菜"	900	1.46	"9304,1,20"	"9204,1,20"	"7960,700,4"
1025	小龙哥	1	36	7	1	0	0	40	"日用,蔬菜"	900	0.9	"9304,1,20"	"9204,1,20"	"7960,350,4"
1025	小龙哥	2	36	9	1	0	0	80	"体育,蔬菜"	900	1.1	"9304,1,20"	"9204,1,20"	"7960,450,4"
1025	小龙哥	3	36	11	1	0	0	120	"体育,蔬菜"	900	1.3	"9304,1,20"	"9204,1,20"	"7960,550,4"
1025	小龙哥	4	36	13	1	0	0	160	"体育,蔬菜"	900	1.5	"9304,1,20"	"9204,1,20"	"7960,650,4"
1025	小龙哥	5	36	15	1	0	0	200	"体育,蔬菜"	900	1.7	"9304,1,20"	"9204,1,20"	"7960,750,4"
1013	大腕儿	1	42	7	1	0	200	0	"体育,蔬菜"	900	1.26	"9306,1,10"	"9206,1,10"	"7960,400,4"
1013	大腕儿	2	42	9	1	0	300	0	"体育,蔬菜"	900	1.46	"9306,1,12"	"9206,1,12"	"7960,500,4"
1013	大腕儿	3	42	11	1	0	400	0	"体育,蔬菜"	900	1.66	"9306,1,14"	"9206,1,14"	"7960,600,4"
1013	大腕儿	4	42	13	1	0	500	0	"体育,蔬菜"	900	1.86	"9306,1,16"	"9206,1,16"	"7960,700,4"
1013	大腕儿	5	42	15	1	0	600	0	"体育,蔬菜"	900	2.06	"9306,1,18"	"9206,1,18"	"7960,800,4"
1030	哆啦梦梦	1	48	7	1	0	0	100	"体育,蔬菜"	900	1.8	"9103,1,1"	"9306,1,12"	"7960,500,4"
1030	哆啦梦梦	2	48	9	1	0	0	150	"体育,蔬菜"	900	2.2	"9103,1,2"	"9306,1,14"	"7960,600,4"
1030	哆啦梦梦	3	48	11	1	0	0	200	"体育,蔬菜"	900	2.6	"9103,1,3"	"9306,1,16"	"7960,700,4"
1030	哆啦梦梦	4	48	13	1	0	0	250	"体育,蔬菜"	900	3	"9103,1,4"	"9306,1,18"	"7960,800,4"
1030	哆啦梦梦	5	48	15	1	0	0	300	"体育,蔬菜"	900	4	"9103,1,5"	"9306,1,20"	"7960,1000,4"
