PraiseLevel	NpcTemplateID	Remark1	Remark2	Remark3	Count	NeedGoods	NeedGoodsCount1	NeedGoodsCount2	NeedGoodsCount3	NeedGoodsCount4	NeedGoodsCount5	NeedGoodsCount6	NeedGoodsCount7	NeedGoodsCount8	NeedGoodsCount9
Remark					顾客数量	填空表示使用NPC模板表里的数据	水果	饮料	蔬菜	日用	体育	电子	奢侈	服装	电器
1	1003	高泉	日用		8					1200	0	0	0	0	0
2	1002	阿碎	体育		4					2000	800	0	0	0	0
3	1006	翟南	电子		4					3200	1400	1200	0	0	0
4	1004	麦琪	奢侈		4					4800	2000	2000	1800	0	0
5	1012	老田	"体育,电子"		4					7200	6400	6400	3200	0	0
6	1011	三其	"电子,奢侈"		4					9600	8800	14400	9600	0	0
7	1005	陈二蛋	服装		4					12000	11200	16200	12000	4400	0
8	1039	胜男王	电器		4					16000	13600	18000	14400	7200	6000
9	1040	哈拉蕾	"服装,电器"		4					20000	17600	24000	18400	16000	16000
10	1015	郑杰伦	"体育,日用"		4					42000	36000	36000	24000	24000	24000
11	1060	宝宝	"电子,奢侈,服装"		4					60000	54000	72000	48000	54000	36000
12	1061	渤渤	"电子,服装,电器"		4					84000	78000	140000	72000	112000	84000
13	1062	铮铮	"奢侈,服装,电器"		4					84000	78000	140000	96000	140000	112000
