PraiseLevel	NpcTemplateID	Remark1	Remark2	Remark3	Count	NeedGoods	NeedGoodsCount1	NeedGoodsCount2	NeedGoodsCount3	NeedGoodsCount4	NeedGoodsCount5	NeedGoodsCount6	NeedGoodsCount7	NeedGoodsCount8	NeedGoodsCount9
Remark					顾客数量	填空表示使用NPC模板表里的数据	水果	饮料	蔬菜	日用	体育	电子	奢侈	服装	电器
1	1003	高泉	日用		8					1200	0	0	0	0	0
2	1002	阿碎	体育		4					2000	800	0	0	0	0
3	1006	翟南	电子		4					3200	1400	1200	0	0	0
4	1004	麦琪	奢侈		4					4800	2000	2000	1800	0	0
5	1012	老田	"体育,电子"		4					7200	6400	6400	3200	0	0
6	1011	三其	"电子,奢侈"		4					9600	8800	14400	9600	0	0
7	1010	大舅哥	"日用,电子"		4					18000	11200	25600	12800	0	0
8	1005	陈二蛋	服装		4					21600	13600	30400	15200	7200	0
9	1039	胜男王	电器		4					25200	16000	36800	18400	9200	6000
10	1060	宝宝	"电子,奢侈,服装"		4					28800	22400	60000	31200	22400	10400
11	1040	哈拉蕾	"服装,电器"		4					37200	31200	80000	42000	46800	30400
12	1061	渤渤	"电子,服装,电器"		4					45600	40000	120000	48000	80000	55200
13	1062	铮铮	"奢侈,服装,电器"		4					45600	40000	120000	64000	100000	73600
