nSpecialGuestID	Remark	nLevel	nUnlockLevel	nMonsterCount	nBossCount	nGold	nExp	nPraise	NeedGoods_Type	NeedGoods_Count	NeedGoods_Coefficient	RewardItem1	RewardItem2	RewardItem3
NPC模板ID	备注	星级	解锁等级	小怪数量	BOSS数量	奖励金币	奖励经验	奖励口碑	需求类型	需求数量	需求系数	可能获得道具(ID、数量、随机权重)	可能获得道具2	可能获得道具3
1024	哈利波波	1	26	7	1	0	0	50	日用	3000	0.1	"9102,1,20"	"6202,1,20"	"6203,1,10"
1024	哈利波波	2	26	9	1	0	0	100	体育	3000	0.3	"9102,1,20"	"6202,1,20"	"6203,1,10"
1024	哈利波波	3	26	11	1	0	0	150	体育	3000	0.5	"9102,1,20"	"6202,1,20"	"6203,1,10"
1024	哈利波波	4	26	13	1	0	0	200	体育	3000	0.7	"9102,1,20"	"6202,1,20"	"6203,1,10"
1024	哈利波波	5	26	15	1	0	0	250	体育	3000	0.9	"9102,1,20"	"6202,1,20"	"6203,1,10"
1023	阿拉丁	1	28	7	1	10000	0	0	日用	3000	0.18	"9102,1,20"	"6202,1,20"	"6203,1,10"
1023	阿拉丁	2	28	9	1	20000	0	0	体育	3000	0.38	"9102,1,20"	"6202,1,20"	"6203,1,10"
1023	阿拉丁	3	28	11	1	40000	0	0	体育	3000	0.58	"9102,1,20"	"6202,1,20"	"6203,1,10"
1023	阿拉丁	4	28	13	1	60000	0	0	体育	3000	0.78	"9102,1,20"	"6202,1,20"	"6203,1,10"
1023	阿拉丁	5	28	15	1	100000	0	0	体育	3000	0.98	"9102,1,20"	"6202,1,20"	"6203,1,10"
1025	小龙哥	1	31	7	1	20000	0	0	体育	3000	0.3	"9303,1,20"	"9203,1,20"	"7960,200,8"
1025	小龙哥	2	31	9	1	40000	0	0	体育	3000	0.5	"9303,1,20"	"9203,1,20"	"7960,300,8"
1025	小龙哥	3	31	11	1	60000	0	0	体育	3000	0.7	"9303,1,20"	"9203,1,20"	"7960,400,8"
1025	小龙哥	4	31	13	1	100000	0	0	体育	3000	0.9	"9303,1,20"	"9203,1,20"	"7960,500,8"
1025	小龙哥	5	31	15	1	150000	0	0	体育	3000	1.1	"9303,1,20"	"9203,1,20"	"7960,600,8"
1022	米高积逊	1	35	7	1	0	100	0	体育	3000	0.46	"9303,1,20"	"9203,1,20"	"7960,250,8"
1022	米高积逊	2	35	9	1	0	200	0	体育	3000	0.66	"9303,1,20"	"9203,1,20"	"7960,350,8"
1022	米高积逊	3	35	11	1	0	300	0	体育	3000	0.86	"9303,1,20"	"9203,1,20"	"7960,450,8"
1022	米高积逊	4	35	13	1	0	400	0	体育	3000	1.06	"9303,1,20"	"9203,1,20"	"7960,550,8"
1022	米高积逊	5	35	15	1	0	500	0	体育	3000	1.26	"9303,1,20"	"9203,1,20"	"7960,650,8"
1021	GAGA	1	42	7	1	0	0	50	体育	3000	0.66	"9304,1,20"	"9204,1,20"	"7960,300,8"
1021	GAGA	2	42	9	1	0	0	100	体育	3000	0.86	"9304,1,20"	"9204,1,20"	"7960,400,8"
1021	GAGA	3	42	11	1	0	0	150	体育	3000	1.06	"9304,1,20"	"9204,1,20"	"7960,500,8"
1021	GAGA	4	42	13	1	0	0	200	体育	3000	1.26	"9304,1,20"	"9204,1,20"	"7960,600,8"
1021	GAGA	5	42	15	1	0	0	250	电子	3000	1.46	"9304,1,20"	"9204,1,20"	"7960,700,8"
1013	大腕儿	1	52	7	1	5000	0	0	体育	3000	0.9	"9304,1,20"	"9204,1,20"	"7960,350,8"
1013	大腕儿	2	52	9	1	10000	0	0	体育	3000	1.1	"9304,1,20"	"9204,1,20"	"7960,450,8"
1013	大腕儿	3	52	11	1	20000	0	0	电子	3000	1.3	"9304,1,20"	"9204,1,20"	"7960,550,8"
1013	大腕儿	4	52	13	1	40000	0	0	电子	3000	1.5	"9304,1,20"	"9204,1,20"	"7960,650,8"
1013	大腕儿	5	52	15	1	60000	0	0	电子	3000	1.7	"9304,1,20"	"9204,1,20"	"7960,750,8"
1017	大酋长	1	66	7	1	0	200	0	电子	3000	1.26	"9306,1,10"	"9206,1,10"	"7960,400,8"
1017	大酋长	2	66	9	1	0	300	0	电子	3000	1.46	"9306,1,12"	"9206,1,12"	"7960,500,8"
1017	大酋长	3	66	11	1	0	400	0	电子	3000	1.66	"9306,1,14"	"9206,1,14"	"7960,600,8"
1017	大酋长	4	66	13	1	0	500	0	电子	3000	1.86	"9306,1,16"	"9206,1,16"	"7960,700,8"
1017	大酋长	5	66	15	1	0	600	0	电子	3000	2.06	"9306,1,18"	"9206,1,18"	"7960,800,8"
1030	哆啦梦梦	1	75	7	1	0	0	100	电子	3000	1.8	"9103,1,2"	"9306,1,12"	"7960,500,8"
1030	哆啦梦梦	2	75	9	1	0	0	150	电子	3000	2.2	"9103,1,3"	"9306,1,14"	"7960,600,8"
1030	哆啦梦梦	3	75	11	1	0	0	200	电子	3000	2.6	"9103,1,4"	"9306,1,16"	"7960,700,8"
1030	哆啦梦梦	4	75	13	1	0	0	250	电子	3000	3	"9103,1,5"	"9306,1,18"	"7960,800,8"
1030	哆啦梦梦	5	75	15	1	0	0	300	电子	3000	4	"9103,1,6"	"9306,1,20"	"7960,1000,8"
